Маргарита Тимофеевна Мельникова;Ялуторовск;ул. Севастопольская, д. 22 к. 7/3;Велесстрой;Плиточник;+75659064301;avgustkoshelev@hotmail.com;1998-07-01;74671
Игорь Демьянович Сафонов;Северо-Курильск;наб. Железнодорожная, д. 39 к. 98;СУЭК;Клинер;8 913 836 6953;savva1990@yandex.ru;1976-03-13;154944
Назар Антонович Яковлев;Приморско-Ахтарск;пер. Свердлова, д. 306;Ростелеком;Сурдолог;+7 971 832 0986;gedeon69@gmail.com;1987-03-06;198747
Бобылев Адам Ефимович;Слюдянка;алл. Медицинская, д. 3/5;Катерпиллар Евразия (Caterpillar);Техник;+79372244430;ivanovermil@gmail.com;2000-07-10;42089
Юлия Львовна Фокина;Абинск;пер. Королева, д. 38;ГК Автодилерство;Пластический хирург;8 (981) 954-8151;andreevaekaterina@hotmail.com;1992-02-22;24220
Александра Геннадиевна Никонова;Калевала;бул. Набережный, д. 726;Мишлен (Michelin);Переводчик;8 806 014 2170;shubinruben@gmail.com;1999-03-30;51143
Киселева Глафира Дмитриевна;Верхотурье;ш. Поселковое, д. 678 к. 4/4;Мерида;Контент-менеджер;8 724 763 20 58;karpovaanna@yandex.ru;1956-05-11;161978
Степанов Федосий Иосифович;Тихвин;ш. Белорусское, д. 5/2 стр. 941;Санофи Россия (Sanofi);Химик-технолог;+7 (698) 659-61-50;egor24@gmail.com;1982-05-20;60900
Мартынова Жанна Архиповна;Туапсе;наб. Чайковского, д. 44 стр. 9;Восточная техника (Vost-Tech);Хлопокороб;+78199450649;mmironov@yandex.ru;1963-08-08;165363
Ермолай Устинович Антонов;Энгельс;ул. Октябрьская, д. 3/4 стр. 4;Объединенная судостроительная корпорация;Реставратор;8 607 583 43 45;nikita36@yahoo.com;1972-07-04;109331
Фадеев Ефрем Егорович;Майкоп;наб. Малая, д. 1/2 стр. 8/5;Беркс;Инкассатор;8 932 532 26 54;evgeni05@hotmail.com;1951-12-18;118460
